Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/1/2024,1,9900.10,9492.77,2127.31,70.12,21590.30
1/1/2024,2,9596.68,9191.53,2133.96,70.95,20993.12
1/1/2024,3,9251.76,9006.48,2061.19,72.34,20391.78
1/1/2024,4,9079.88,8769.04,1986.30,74.98,19910.20
1/1/2024,5,9049.64,8694.78,1917.04,79.62,19741.08
1/1/2024,6,9237.19,8812.33,1926.63,86.56,20062.71
1/1/2024,7,9606.86,9053.31,1954.69,93.29,20708.15
1/1/2024,8,9924.55,9095.72,1966.41,93.86,21080.54
1/1/2024,9,9932.51,8993.47,1843.30,129.62,20898.90
1/1/2024,10,9627.06,9290.25,1675.59,122.78,20715.68
1/1/2024,11,9251.97,9762.38,1677.31,127.88,20819.55
1/1/2024,12,8899.43,9717.74,1579.07,120.83,20317.07
1/1/2024,13,8844.84,9470.03,1503.32,107.20,19925.39
1/1/2024,14,8967.02,9208.22,1595.37,83.83,19854.43
1/1/2024,15,9309.66,8984.38,1632.09,54.74,19980.86
1/1/2024,16,9598.26,8929.37,1812.61,55.77,20396.01
1/1/2024,17,10211.35,9795.32,2223.14,63.53,22293.34
1/1/2024,18,11216.64,10776.53,2481.23,73.08,24547.47
1/1/2024,19,11354.39,10891.92,2517.54,75.48,24839.33
1/1/2024,20,11142.82,10843.17,2458.63,76.74,24521.36
1/1/2024,21,11109.11,10732.31,2397.06,77.40,24315.88
1/1/2024,22,10827.90,10672.63,2310.80,78.53,23889.87
1/1/2024,23,10316.21,10232.65,2162.16,77.60,22788.62
1/1/2024,24,9757.36,9691.84,2025.81,76.94,21551.96
1/2/2024,1,9401.76,9266.42,2021.12,78.34,20767.63
1/2/2024,2,9055.79,9141.21,1944.58,80.38,20221.96
1/2/2024,3,8837.20,9004.76,1898.05,83.35,19823.36
1/2/2024,4,8797.92,8851.08,1872.85,86.78,19608.64
1/2/2024,5,8990.87,9037.86,1914.18,93.09,20036.00
1/2/2024,6,9599.20,9708.33,2046.79,102.51,21456.82
1/2/2024,7,10449.04,10490.71,2250.07,110.73,23300.54
1/2/2024,8,11270.29,10952.33,2327.61,111.13,24661.36
1/2/2024,9,11695.62,11382.60,2291.42,155.88,25525.53
1/2/2024,10,11648.77,11606.48,2164.54,149.62,25569.41
1/2/2024,11,11372.67,11571.91,1954.31,111.41,25010.30
1/2/2024,12,11036.12,11551.41,1798.31,127.24,24513.07
1/2/2024,13,10768.61,10975.20,1640.87,108.79,23493.47
1/2/2024,14,10722.86,10892.43,1675.90,78.64,23369.84
1/2/2024,15,11286.54,10789.20,1851.83,71.80,23999.37
1/2/2024,16,11613.71,10662.03,2114.74,65.18,24455.66
1/2/2024,17,12102.35,11097.52,2404.26,70.75,25674.88
1/2/2024,18,12708.47,11963.89,2686.00,77.28,27435.64
1/2/2024,19,12589.73,11960.72,2689.23,81.07,27320.75
1/2/2024,20,12283.26,11873.29,2620.56,82.60,26859.71
1/2/2024,21,11970.87,11724.20,2530.25,83.12,26308.44
1/2/2024,22,11575.91,11602.20,2415.39,83.03,25676.53
1/2/2024,23,10902.19,10996.79,2241.80,81.09,24221.87
1/2/2024,24,10263.88,10521.68,2096.40,78.77,22960.73
1/3/2024,1,10120.97,9858.82,2051.92,77.59,22109.31
1/3/2024,2,9919.41,9643.16,1972.23,76.64,21611.44
1/3/2024,3,10052.04,9339.81,1912.38,76.75,21380.97
1/3/2024,4,10026.47,9161.71,1929.17,77.16,21194.50
1/3/2024,5,9640.31,9241.32,1992.98,79.61,20954.22
1/3/2024,6,10169.21,9630.15,2029.08,82.16,21910.60
1/3/2024,7,10823.14,10510.90,2193.53,87.96,23615.54
1/3/2024,8,11350.52,11128.11,2447.06,92.95,25018.64
1/3/2024,9,11365.29,11506.59,2640.06,96.13,25608.08
1/3/2024,10,10984.11,11492.56,2823.16,93.91,25393.73
1/3/2024,11,10356.77,11555.37,2763.41,88.73,24764.28
1/3/2024,12,10226.53,10894.71,2440.44,90.34,23652.02
1/3/2024,13,10467.29,10654.48,2099.15,80.53,23301.45
1/3/2024,14,10290.67,10608.25,1946.50,63.19,22908.61
1/3/2024,15,10686.66,10851.79,2067.36,68.56,23674.36
1/3/2024,16,11137.08,10917.62,2265.55,79.43,24399.69
1/3/2024,17,11829.00,11417.19,2507.81,83.44,25837.44
1/3/2024,18,12555.64,12124.51,2767.70,91.39,27539.24
1/3/2024,19,12560.74,12172.44,2774.46,92.76,27600.40
1/3/2024,20,12308.40,12040.70,2687.47,94.23,27130.81
1/3/2024,21,12053.29,11863.30,2595.26,93.36,26605.21
1/3/2024,22,11688.22,11641.92,2472.71,90.12,25892.96
1/3/2024,23,11055.20,11098.98,2331.29,85.86,24571.32
1/3/2024,24,10441.49,10510.09,2295.22,82.30,23329.10
1/4/2024,1,10033.38,9856.82,2160.05,80.13,22130.37
1/4/2024,2,10059.57,9469.84,2091.18,79.47,21700.07
