datetime,GHI,Temperature,Relative Humidity,CAISO,grid_risk
2022-01-01 00:00:00,132,9.8,78.5,22303.67,0
2022-01-01 01:00:00,0,8.3,84.57,21491.08,0
2022-01-01 02:00:00,0,7.8,88.63,21041.72,0
2022-01-01 03:00:00,0,7.4,91.49,20875.96,0
2022-01-01 04:00:00,0,6.9,94.5,20901.42,0
2022-01-01 05:00:00,0,6.4,96.82,21279.99,0
2022-01-01 06:00:00,0,6.1,97.2,21957.5,0
2022-01-01 07:00:00,0,5.6,98.24,22122.39,0
2022-01-01 08:00:00,0,5.2,98.45,22003.9,0
2022-01-01 09:00:00,0,4.9,97.42,21248.11,0
2022-01-01 10:00:00,0,4.7,95.05,20265.7,0
2022-01-01 11:00:00,0,4.4,93.01,19158.14,0
2022-01-01 12:00:00,0,4.2,89.9,18967.59,0
2022-01-01 13:00:00,0,4.2,86.08,19032.54,0
2022-01-01 14:00:00,0,4.2,80.75,20098.55,0
2022-01-01 15:00:00,0,4.4,77.08,20876.63,0
2022-01-01 16:00:00,47,6.3,73.74,22853.89,0
2022-01-01 17:00:00,229,8.2,62.52,25662.89,0
2022-01-01 18:00:00,373,9.5,55.04,26314.76,0
2022-01-01 19:00:00,473,10.4,51.48,26176.18,0
2022-01-01 20:00:00,517,11.1,48.7,25853.22,0
2022-01-01 21:00:00,500,11.4,48.62,25350.41,0
2022-01-01 22:00:00,422,11.5,49.57,24250.2,0
2022-01-01 23:00:00,296,11.1,54.91,23019.44,0
2022-01-02 00:00:00,138,9.5,63.78,22139.16,0
2022-01-02 01:00:00,0,8.5,61.63,21543.94,0
2022-01-02 02:00:00,0,8.1,62.96,21290.94,0
2022-01-02 03:00:00,0,7.7,64.98,21205.02,0
2022-01-02 04:00:00,0,7.2,67.95,21378.73,0
2022-01-02 05:00:00,0,6.6,71.52,21918.78,0
2022-01-02 06:00:00,0,5.9,75.56,22755.17,0
2022-01-02 07:00:00,0,5.1,80.41,23235.68,0
2022-01-02 08:00:00,0,4.5,84.22,22872.33,0
2022-01-02 09:00:00,0,4.0,87.42,22017.09,0
2022-01-02 10:00:00,0,3.6,89.78,20723.05,0
2022-01-02 11:00:00,0,3.3,91.61,19826.21,0
2022-01-02 12:00:00,0,3.0,94.1,19527.94,0
2022-01-02 13:00:00,0,2.9,95.85,19727.26,0
2022-01-02 14:00:00,0,3.0,96.8,20400.71,0
2022-01-02 15:00:00,0,3.3,97.09,21431.08,0
2022-01-02 16:00:00,64,5.1,90.47,23851.61,0
2022-01-02 17:00:00,221,6.9,84.92,26743.24,0
2022-01-02 18:00:00,366,8.9,79.6,27209.8,0
2022-01-02 19:00:00,463,10.6,75.77,26989.22,0
2022-01-02 20:00:00,507,11.9,73.3,26539.67,0
2022-01-02 21:00:00,489,12.5,72.42,25761.76,0
2022-01-02 22:00:00,413,12.5,73.83,24399.79,0
2022-01-02 23:00:00,79,11.9,79.81,22917.69,0
2022-01-03 00:00:00,85,10.8,85.14,22112.91,0
