Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563176,-,-,-,37.78,-122.41,0,24,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI,Wind Speed,Relative Humidity
2024,1,1,0,0,12.4,8,66,67,0,88.42
2024,1,1,1,0,12,0,0,0,0,90.10000000000001
2024,1,1,2,0,11.8,0,0,0,0,91.8
2024,1,1,3,0,11.5,0,0,0,0,93.93
2024,1,1,4,0,11.4,0,0,0,0,94.54
2024,1,1,5,0,11.100000000000001,0,0,0,0,95.73
2024,1,1,6,0,10.700000000000001,0,0,0,0,97.08
2024,1,1,7,0,10.5,0,0,0,0,97.04
2024,1,1,8,0,10.5,0,0,0,0,96.52
2024,1,1,9,0,10.5,0,0,0,0,95.74000000000001
2024,1,1,10,0,10.100000000000001,0,0,0,0,96.71000000000001
2024,1,1,11,0,9.600000000000001,0,0,0,0,98.27
2024,1,1,12,0,9.200000000000001,0,0,0,0,99
2024,1,1,13,0,8.9,0,0,0,0,99.02
2024,1,1,14,0,8.700000000000001,0,0,0,0,98.17
2024,1,1,15,0,8.700000000000001,0,0,0,0,96.92
2024,1,1,16,0,9.9,358,29,62,0,92.63
2024,1,1,17,0,11,651,54,214,0,88.42
2024,1,1,18,0,12.600000000000001,798,61,356,0,80.16
2024,1,1,19,0,14.3,859,66,454,0,69.55
2024,1,1,20,0,15.3,881,68,497,0,63.42
2024,1,1,21,0,15.9,878,66,482,0,60
2024,1,1,22,0,16.1,843,62,409,0,59
2024,1,1,23,0,15.8,761,53,285,0,62.64
2024,1,2,0,0,14.4,584,38,132,0,70.88
2024,1,2,1,0,13.100000000000001,0,0,0,0,75.5
2024,1,2,2,0,12.600000000000001,0,0,0,0,80.27
2024,1,2,3,0,12.100000000000001,0,0,0,0,84.56
2024,1,2,4,0,11.8,0,0,0,0,87.02
2024,1,2,5,0,11.5,0,0,0,0,89.41
2024,1,2,6,0,11.100000000000001,0,0,0,0,92.53
2024,1,2,7,0,10.9,0,0,0,0,94.14
2024,1,2,8,0,10.600000000000001,0,0,0,0,96.27
2024,1,2,9,0,10.5,0,0,0,0,97.29
2024,1,2,10,0,10.9,0,0,0,0,95.04
2024,1,2,11,0,10.700000000000001,0,0,0,0,96.06
2024,1,2,12,0,10.3,0,0,0,0,98.27
2024,1,2,13,0,10.200000000000001,0,0,0,0,98.67
2024,1,2,14,0,10.200000000000001,0,0,0,0,98.87
2024,1,2,15,0,10.3,0,0,0,0,98.68
2024,1,2,16,0,11.600000000000001,6,37,38,0,93.14
2024,1,2,17,0,13.5,0,58,58,0,84.76
2024,1,2,18,0,15,0,106,106,0,76.76
2024,1,2,19,0,15.9,93,259,301,0,71.36
2024,1,2,20,0,15.9,166,275,357,0,71.65
2024,1,2,21,0,15.5,373,190,367,0,75.94
2024,1,2,22,0,14.9,1,73,73,0,81.85000000000001
2024,1,2,23,0,14.5,0,18,18,0,87.03
2024,1,3,0,0,14,1,51,51,0,90.11
2024,1,3,1,0,13.700000000000001,0,0,0,0,87.01
2024,1,3,2,0,13.200000000000001,0,0,0,0,81.46000000000001
2024,1,3,3,0,12.5,0,0,0,0,80.3
2024,1,3,4,0,11.8,0,0,0,0,81.88
2024,1,3,5,0,11.200000000000001,0,0,0,0,82.57000000000001
2024,1,3,6,0,10.9,0,0,0,0,82.33
2024,1,3,7,0,10.5,0,0,0,0,84.03
2024,1,3,8,0,10.4,0,0,0,0,85.67
2024,1,3,9,0,10.5,0,0,0,0,86.19
2024,1,3,10,0,10.4,0,0,0,0,87.69
2024,1,3,11,0,10.3,0,0,0,0,88.84
2024,1,3,12,0,10.200000000000001,0,0,0,0,89.03
2024,1,3,13,0,10,0,0,0,0,88.49
2024,1,3,14,0,9.8,0,0,0,0,88.81
2024,1,3,15,0,9.9,0,0,0,0,89.23
2024,1,3,16,0,11.100000000000001,1,39,39,0,88.13
2024,1,3,17,0,11.8,592,63,208,0,86.15
2024,1,3,18,0,12.3,755,71,351,0,82.28
2024,1,3,19,0,12.9,811,80,449,0,77.35000000000001
2024,1,3,20,0,13.4,1,162,162,0,72.92
2024,1,3,21,0,13.8,136,276,340,0,69.85000000000001
2024,1,3,22,0,14,812,71,408,0,68.78
2024,1,3,23,0,13.9,0,37,37,0,70.15
2024,1,4,0,0,12.700000000000001,0,6,6,0,78.94
2024,1,4,1,0,11.8,0,0,0,0,84.18
2024,1,4,2,0,11.3,0,0,0,0,87.51
2024,1,4,3,0,10.700000000000001,0,0,0,0,90.99
2024,1,4,4,0,10.100000000000001,0,0,0,0,94.32000000000001
2024,1,4,5,0,9.600000000000001,0,0,0,0,97.09
2024,1,4,6,0,9.200000000000001,0,0,0,0,98.98
2024,1,4,7,0,8.9,0,0,0,0,99.78
2024,1,4,8,0,8.8,0,0,0,0,98.89
2024,1,4,9,0,8.700000000000001,0,0,0,0,97.75
2024,1,4,10,0,8.700000000000001,0,0,0,0,95.63
2024,1,4,11,0,8.5,0,0,0,0,95.43
2024,1,4,12,0,8.6,0,0,0,0,94.5
